Order ID,Date,Product Name,Category,Region,Sales Rep,Units Sold,Unit Price,Cost Price,Revenue,Profit
1036,2024-04-16,Printer Paper Ream,Stationery,North,Ravi Kumar,30,350,150,10500,6000
1037,2024-04-18,Bluetooth Speaker,Electronics,South,Priya Sharma,10,4200,2500,42000,17000
1038,2024-04-21,Coffee Table,Furniture,East,Anil Reddy,2,5500,3500,11000,4000
1039,2024-04-23,Stapler,Stationery,West,Sneha Patel,25,450,200,11250,6250
1040,2024-04-25,USB-C Hub,Electronics,North,Ravi Kumar,13,1200,700,15600,6500
1041,2024-05-02,Monitor 24inch,Electronics,South,Priya Sharma,6,14000,9000,84000,30000
1042,2024-05-05,Standing Desk,Furniture,East,Anil Reddy,4,18000,12000,72000,24000
1043,2024-05-08,Notebook A4,Stationery,West,Sneha Patel,80,120,60,9600,4800
1044,2024-05-10,Laptop Stand,Electronics,North,Ravi Kumar,16,2200,1300,35200,14400
1045,2024-05-14,Office Chair,Furniture,South,Priya Sharma,5,7500,5000,37500,12500
1046,2024-05-16,Sticky Notes Pack,Stationery,East,Anil Reddy,65,150,60,9750,5850
1047,2024-05-20,Mechanical Keyboard,Electronics,West,Sneha Patel,9,3500,2000,31500,13500
1048,2024-05-22,File Cabinet,Furniture,North,Ravi Kumar,2,9500,6500,19000,6000
1049,2024-05-24,Ballpoint Pens (Pack),Stationery,South,Priya Sharma,50,200,80,10000,6000
1050,2024-05-28,Webcam HD,Electronics,East,Anil Reddy,14,2800,1600,39200,16800
1051,2024-06-03,Wireless Mouse,Electronics,West,Sneha Patel,20,850,500,17000,7000
1052,2024-06-05,Bookshelf,Furniture,North,Ravi Kumar,4,6500,4200,26000,9200
1053,2024-06-08,Highlighters Set,Stationery,South,Priya Sharma,40,180,75,7200,4200
1054,2024-06-10,Bluetooth Speaker,Electronics,East,Anil Reddy,12,4200,2500,50400,20400
1055,2024-06-13,Ergonomic Chair,Furniture,West,Sneha Patel,4,12000,8000,48000,16000
1056,2024-06-16,Printer Paper Ream,Stationery,North,Ravi Kumar,35,350,150,12250,7000
1057,2024-06-18,USB-C Hub,Electronics,South,Priya Sharma,15,1200,700,18000,7500
1058,2024-06-20,Coffee Table,Furniture,East,Anil Reddy,3,5500,3500,16500,6000
1059,2024-06-23,Stapler,Stationery,West,Sneha Patel,30,450,200,13500,7500
1060,2024-06-26,Monitor 24inch,Electronics,North,Ravi Kumar,7,14000,9000,98000,35000
